Total rows: 141
父场景 | 素材类型 | 子场景 | 频次 | 素材描述（给剪辑师）
 |  | 与观众互动 | 84 | '你知道吗''我告诉你''很多人问我'
 |  | 视频结尾收束 | 206 | '这个视频''这期视频'
 |  |  |  | 
免疫/感染机制 | 3D动画视频 | 免疫系统总览 | 348 | 免疫细胞在血管中巡逻
 |  | 免疫细胞吞噬病原体 | 282 | 白细胞包围→吞噬→消化
 |  | 白细胞/淋巴细胞工作 | 189 | 各类免疫细胞分工合作
 |  | 炎症反应过程 | 208 | 组织损伤→炎症因子→红肿热痛
 |  | 抗体结合病原体 | 131 | Y形抗体→结合病毒表面→标记
 |  | 病毒入侵细胞 | 109 | 病毒吸附→进入细胞→复制
 |  | 细菌/真菌感染过程 | 213 | 微生物繁殖→组织受损
 |  |  |  | 
神经调控机制 | 3D动画视频 | 交感神经兴奋 | 410 | 紧张→交感兴奋→心率加快血压升高
 |  | 植物神经紊乱 | 386 | 交感与副交感失衡→各种症状
 |  | 脑血管示意 | 276 | 脑内血管走行、Willis环
 |  | 迷走神经调节 | 68 | 迷走神经→减慢心率→舒缓
 |  | 神经递质传递 | 30 | 多巴胺/5-HT在突触间传递
 |  |  |  | 
血管内部机制讲解 | 3D动画视频（最核心素材） | 支架植入过程 | 272 | 球囊扩张→支架释放→撑开血管
 |  | 血管逐渐狭窄 | 178 | 正常血管→脂质沉积→管腔变窄
 |  | 动脉硬化过程 | 250 | 弹性血管→内壁增厚→硬化钙化
 |  | 血管完全堵塞 | 204 | 斑块增大→血流减少→完全堵死
 |  | 斑块破裂→急性血栓 | 107 | 斑块表面破裂→血小板聚集→血栓形成
 |  | 血栓脱落→远端栓塞 | 57 | 血栓从壁上脱落→随血流移动→堵住远端
 |  | 球囊扩张过程 | 98 | 导丝进入→球囊到位→充盈扩张
 |  | 血管弹性对比 | 27 | 年轻弹性血管 vs 老化僵硬血管
 |  |  |  | 
心脏工作机制 | 3D动画视频 | 心肌缺血过程 | 502 | 冠脉供血不足→心肌颜色变暗→功能下降
 |  | 冠状动脉供血 | 288 | 冠脉在心脏表面的走行与分支
 |  | 心脏电传导系统 | 65 | 窦房结→房室结→希氏束→浦肯野纤维
 |  | 心脏收缩舒张周期 | 55 | 收缩期射血→舒张期充盈
 |  | 心脏负担加重 | 69 | 高血压下心脏肥厚→心衰
 |  | 心脏瓣膜工作 | 18 | 瓣膜开合→防止血液返流
 |  |  |  | 
数据/对比展示 | 图表/信息图 | 死亡率/发病率数据 | 215 | 柱状图/饼图展示统计数据
 |  | 风险增减对比 | 84 | 干预前后风险变化曲线
 |  | 正常人vs患者对比 | 89 | 两组数据并排对比
 |  | 研究结论 | 140 | 期刊结论截图/数据图
 |  | 统计数据 | 88 | 大规模研究的样本数和结论
 |  |  |  | 
血脂代谢机制 | 3D动画视频 | LDL运输与沉积 | 295 | LDL携带胆固醇→穿入血管壁→沉积
 |  | HDL清除胆固醇 | 42 | HDL从血管壁捡回胆固醇→运回肝脏
 |  | 肝脏合成与代谢 | 70 | 肝脏生产胆固醇→释放入血
 |  | 血脂升高过程 | 92 | 不良饮食→血脂浓度渐升→超标
 |  |  |  | 
血糖/胰岛素机制 | 3D动画视频 | 胰岛素抵抗过程 | 229 | 胰岛素与受体结合困难→血糖无法进入细胞
 |  | 血糖调控循环 | 124 | 进食→血糖升高→胰岛素分泌→血糖下降
 |  | 葡萄糖进出细胞 | 68 | 葡萄糖转运体打开→糖进入细胞
 |  | 胰岛细胞分泌 | 34 | 胰腺β细胞释放胰岛素
 |  |  |  | 
肿瘤/癌变机制 | 3D动画视频 | 良恶性对比 | 212 | 良性结节vs恶性肿瘤的生长方式
 |  | 肺结节观察 | 128 | CT上的肺结节→随访变化
 |  | 癌细胞增殖 | 82 | 正常细胞→基因突变→失控增殖
 |  | 基因突变过程 | 34 | DNA复制出错→突变累积
 |  |  |  | 
血压调控机制 | 3D动画视频 | 血压升高全过程 | 115 | 交感兴奋→血管收缩→心输出量增加→血压升高
 |  | 交感神经→血管收缩 | 134 | 神经信号→血管平滑肌收缩→管腔变窄
 |  | RAAS系统激活 | 38 | 肾素→血管紧张素→醛固酮→水钠潴留
 |  | 血压波动 | 27 | 24小时血压节律曲线→晨峰→夜间低谷
